time,robot_x_axis,robot_y_axis,robot_z_axis
1661971666877491712,0.0913,-0.0528,0.0262
1661971666906226634,0.0913,-0.0528,0.0258
1661971666934894084,0.0913,-0.0528,0.0254
1661971666963462114,0.0913,-0.0528,0.0251
1661971666992144107,0.0913,-0.0528,0.0247
1661971667020985126,0.0913,-0.0528,0.0244
1661971667049670219,0.0913,-0.0528,0.024
1661971667078276157,0.0913,-0.0528,0.0236
1661971667106811285,0.0913,-0.0528,0.0233
1661971667135918617,0.0913,-0.0528,0.0229
1661971667164188385,0.0913,-0.0528,0.0225
1661971667192943811,0.0913,-0.0528,0.0222
1661971667221513271,0.0913,-0.0528,0.0218
1661971667250268459,0.0913,-0.0528,0.0214
1661971667279038906,0.0913,-0.0528,0.0211
1661971667307621002,0.0913,-0.0528,0.0207
1661971667336363554,0.0913,-0.0528,0.0203
1661971667364870309,0.0913,-0.0528,0.02
1661971667393888950,0.0913,-0.0528,0.0196
1661971667422206163,0.0913,-0.0528,0.0193
1661971667451085567,0.0913,-0.0528,0.0189
1661971667479779958,0.0913,-0.0528,0.0185
1661971667508279561,0.0913,-0.0528,0.0182
1661971667536994934,0.0913,-0.0528,0.0178
1661971667565591335,0.0913,-0.0528,0.0174
1661971667594278812,0.0913,-0.0528,0.0171
1661971667622958183,0.0913,-0.0528,0.0167
1661971667651692628,0.0913,-0.0528,0.0164
1661971667680554866,0.0913,-0.0528,0.016
1661971667709564447,0.0913,-0.0528,0.0156
1661971667737847328,0.0913,-0.0528,0.0153
1661971667766300916,0.0913,-0.0528,0.0149
1661971667794984102,0.0913,-0.0528,0.0145
1661971667823658704,0.0913,-0.0528,0.0142
1661971667852396726,0.0913,-0.0528,0.0138
1661971667881206274,0.0913,-0.0528,0.0135
1661971667909683704,0.0913,-0.0528,0.0131
1661971667938627481,0.0913,-0.0528,0.0128
1661971667968199253,0.0913,-0.0528,0.0125
1661971667999766826,0.0913,-0.0528,0.0122
1661971668028612613,0.0913,-0.0528,0.0119
1661971668057255029,0.0913,-0.0528,0.0117
1661971668085882902,0.0913,-0.0528,0.0115
1661971668114469051,0.0913,-0.0528,0.0113
1661971668143198251,0.0913,-0.0528,0.0111
1661971668171965122,0.0913,-0.0528,0.0109
1661971668200619220,0.0913,-0.0528,0.0107
1661971668229186058,0.0913,-0.0528,0.0106
1661971668257920980,0.0913,-0.0528,0.0105
1661971668286555290,0.0913,-0.0528,0.0103
1661971668315214157,0.0913,-0.0528,0.0102
1661971668343983888,0.0913,-0.0528,0.0102
1661971668372569561,0.0913,-0.0528,0.0101
1661971668401386499,0.0913,-0.0528,0.01
1661971668430113792,0.0913,-0.0528,0.01
1661971668458615064,0.0913,-0.0528,0.01
1661971668495555639,0.0913,-0.0528,0.01
1661971668524236440,0.0913,-0.0528,0.01
1661971668556904077,0.0913,-0.0528,0.01
1661971668606343984,0.0913,-0.0528,0.01
1661971668655564308,0.0913,-0.0528,0.01
1661971668704635858,0.0913,-0.0528,0.01
1661971668753801584,0.0913,-0.0528,0.01
1661971668802916526,0.0913,-0.0528,0.01
1661971668852170705,0.0913,-0.0528,0.01
1661971668901163816,0.0913,-0.0528,0.01
1661971668950531721,0.0913,-0.0528,0.01
1661971668999710559,0.0913,-0.0528,0.01
1661971669049026489,0.0913,-0.0528,0.01
1661971669101736307,0.0913,-0.0528,0.01
1661971669151223897,0.0913,-0.0528,0.01
1661971669200426816,0.0913,-0.0528,0.01
1661971669249464750,0.0913,-0.0528,0.01
1661971669298568487,0.0913,-0.0528,0.01
1661971669347661256,0.0913,-0.0528,0.01
1661971669396803617,0.0913,-0.0528,0.01
1661971669446054935,0.0913,-0.0528,0.01
1661971669495299339,0.0913,-0.0528,0.01
1661971669544564008,0.0913,-0.0528,0.01
1661971669589282512,0.0913,-0.0528,0.01
1661971669699867486,0.0913,-0.0527,0.01
1661971669728464126,0.0913,-0.0527,0.01
1661971669757121801,0.0913,-0.0526,0.01
1661971669785966634,0.0913,-0.0526,0.01
1661971669814527988,0.0913,-0.0525,0.01
1661971669843217372,0.0913,-0.0524,0.01
1661971669871819019,0.0913,-0.0523,0.01
1661971669900549650,0.0913,-0.0523,0.01
1661971669929692506,0.0913,-0.0522,0.01
1661971669958517551,0.0913,-0.0521,0.01
1661971669986799478,0.0913,-0.052,0.01
1661971670015208482,0.0913,-0.052,0.01
1661971670043919563,0.0913,-0.0519,0.01
1661971670080750942,0.0913,-0.0518,0.01
1661971670109606742,0.0913,-0.0517,0.01
1661971670138248682,0.0913,-0.0517,0.01
1661971670166792869,0.0913,-0.0516,0.01
1661971670195449829,0.0913,-0.0515,0.01
1661971670224221229,0.0913,-0.0514,0.01
1661971670252956867,0.0913,-0.0514,0.01
1661971670281649351,0.0913,-0.0513,0.01
1661971670310306549,0.0913,-0.0512,0.01
1661971670338821411,0.0913,-0.0511,0.01
1661971670367447614,0.0913,-0.0511,0.01
