time,robot_x_axis,robot_y_axis,robot_z_axis
1661977519954838514,0.0863,-0.0526,0.0329
1661977519983075380,0.0863,-0.0526,0.0326
1661977520011735439,0.0863,-0.0527,0.0324
1661977520040418148,0.0863,-0.0527,0.0321
1661977520069151401,0.0863,-0.0527,0.0318
1661977520098239898,0.0863,-0.0527,0.0315
1661977520126475334,0.0863,-0.0527,0.0312
1661977520155090093,0.0863,-0.0527,0.0309
1661977520183893203,0.0863,-0.0527,0.0306
1661977520212454795,0.0863,-0.0527,0.0303
1661977520241156339,0.0863,-0.0527,0.0301
1661977520269741535,0.0863,-0.0527,0.0298
1661977520298395395,0.0863,-0.0527,0.0295
1661977520327205896,0.0863,-0.0528,0.0292
1661977520355915307,0.0863,-0.0528,0.0289
1661977520384425640,0.0863,-0.0528,0.0286
1661977520413158178,0.0863,-0.0528,0.0283
1661977520441884040,0.0863,-0.0528,0.028
1661977520470526456,0.0863,-0.0528,0.0277
1661977520499418020,0.0863,-0.0528,0.0273
1661977520527920246,0.0863,-0.0528,0.027
1661977520556597709,0.0863,-0.0528,0.0266
1661977520585314035,0.0863,-0.0528,0.0262
1661977520613862991,0.0863,-0.0528,0.0259
1661977520642542362,0.0863,-0.0528,0.0255
1661977520671198606,0.0863,-0.0528,0.0251
1661977520699920892,0.0863,-0.0528,0.0248
1661977520728781223,0.0863,-0.0528,0.0244
1661977520757435321,0.0863,-0.0528,0.024
1661977520785990953,0.0863,-0.0528,0.0237
1661977520814985990,0.0863,-0.0528,0.0233
1661977520843319654,0.0863,-0.0528,0.023
1661977520871994018,0.0863,-0.0528,0.0226
1661977520900795221,0.0863,-0.0528,0.0222
1661977520929316282,0.0863,-0.0528,0.0219
1661977520958056449,0.0863,-0.0528,0.0215
1661977520986692905,0.0863,-0.0528,0.0211
1661977521015259027,0.0863,-0.0528,0.0208
1661977521043993949,0.0863,-0.0528,0.0204
1661977521072908639,0.0863,-0.0528,0.02
1661977521101347923,0.0863,-0.0528,0.0197
1661977521130051612,0.0863,-0.0528,0.0193
1661977521158751010,0.0863,-0.0528,0.019
1661977521187429189,0.0863,-0.0528,0.0186
1661977521216007471,0.0863,-0.0528,0.0182
1661977521244686603,0.0863,-0.0528,0.0179
1661977521273368597,0.0863,-0.0528,0.0175
1661977521302124738,0.0863,-0.0528,0.0171
1661977521330673217,0.0863,-0.0528,0.0168
1661977521359464168,0.0863,-0.0528,0.0164
1661977521388162612,0.0863,-0.0528,0.016
1661977521416916370,0.0863,-0.0528,0.0157
1661977521445471763,0.0863,-0.0528,0.0153
1661977521474058389,0.0863,-0.0528,0.015
1661977521502828836,0.0863,-0.0528,0.0146
1661977521531444311,0.0863,-0.0528,0.0142
1661977521560144901,0.0863,-0.0528,0.0139
1661977521588952302,0.0863,-0.0528,0.0135
1661977521617523431,0.0863,-0.0528,0.0132
1661977521646379709,0.0863,-0.0528,0.0129
1661977521675408124,0.0863,-0.0528,0.0126
1661977521703710556,0.0863,-0.0528,0.0123
1661977521732169151,0.0863,-0.0528,0.012
1661977521760858058,0.0863,-0.0528,0.0118
1661977521789591073,0.0863,-0.0528,0.0115
1661977521818261384,0.0863,-0.0528,0.0113
1661977521846883535,0.0863,-0.0528,0.0111
1661977521875661134,0.0863,-0.0528,0.0109
1661977521904203176,0.0863,-0.0528,0.0108
1661977521932796239,0.0863,-0.0528,0.0106
1661977521961641550,0.0863,-0.0528,0.0105
1661977521990410566,0.0863,-0.0528,0.0104
1661977522018921375,0.0863,-0.0528,0.0103
1661977522047652721,0.0863,-0.0528,0.0102
1661977522076423645,0.0863,-0.0528,0.0101
1661977522104884624,0.0863,-0.0528,0.0101
1661977522133589267,0.0863,-0.0528,0.01
1661977522162309169,0.0863,-0.0528,0.01
1661977522215720176,0.0863,-0.0528,0.01
1661977522245042085,0.0863,-0.0528,0.01
1661977522293882846,0.0863,-0.0528,0.01
1661977522342847347,0.0863,-0.0528,0.01
1661977522392077684,0.0863,-0.0528,0.01
1661977522441541910,0.0863,-0.0528,0.01
1661977522490598917,0.0863,-0.0528,0.01
1661977522539697408,0.0863,-0.0528,0.01
1661977522588810682,0.0863,-0.0528,0.01
1661977522637733697,0.0863,-0.0528,0.01
1661977522687086343,0.0863,-0.0528,0.01
1661977522739899158,0.0863,-0.0528,0.01
1661977522789180994,0.0863,-0.0528,0.01
1661977522838404178,0.0863,-0.0528,0.01
1661977522887638568,0.0863,-0.0528,0.01
1661977522936790704,0.0863,-0.0528,0.01
1661977522985879898,0.0863,-0.0528,0.01
1661977523034910202,0.0863,-0.0528,0.01
1661977523084331750,0.0863,-0.0528,0.01
1661977523133596658,0.0863,-0.0528,0.01
1661977523182835817,0.0863,-0.0528,0.01
1661977523235489606,0.0863,-0.0528,0.01
1661977523284938335,0.0863,-0.0528,0.01
1661977523334055900,0.0863,-0.0528,0.01
1661977523383261680,0.0863,-0.0528,0.01
1661977523432397603,0.0863,-0.0528,0.01
1661977523481608390,0.0863,-0.0528,0.01
1661977523530736684,0.0863,-0.0528,0.01
1661977523571931123,0.0863,-0.0528,0.01
1661977523682183742,0.0863,-0.0527,0.01
1661977523711184501,0.0863,-0.0527,0.01
1661977523740219593,0.0863,-0.0526,0.01
1661977523768346309,0.0863,-0.0526,0.01
1661977523796999216,0.0863,-0.0525,0.01
1661977523825636863,0.0863,-0.0524,0.01
1661977523854234457,0.0863,-0.0523,0.01
1661977523882826805,0.0863,-0.0523,0.01
1661977523911609888,0.0863,-0.0522,0.01
1661977523940253257,0.0863,-0.0521,0.01
1661977523968850135,0.0863,-0.052,0.01
1661977523997546911,0.0863,-0.052,0.01
1661977524026441812,0.0863,-0.0519,0.01
1661977524063076496,0.0863,-0.0518,0.01
1661977524091687202,0.0863,-0.0517,0.01
1661977524120669126,0.0863,-0.0517,0.01
1661977524149076223,0.0863,-0.0516,0.01
1661977524177796602,0.0863,-0.0515,0.01
1661977524206417322,0.0863,-0.0514,0.01
1661977524235113143,0.0863,-0.0514,0.01
1661977524263825178,0.0863,-0.0513,0.01
1661977524292957782,0.0863,-0.0512,0.01
1661977524321264743,0.0863,-0.0511,0.01
1661977524349931001,0.0863,-0.0511,0.01
1661977524378554821,0.0863,-0.051,0.01
1661977524407198905,0.0863,-0.0509,0.01
1661977524435892820,0.0863,-0.0509,0.01
1661977524472624063,0.0863,-0.0508,0.01
1661977524501529693,0.0863,-0.0507,0.01
1661977524530160427,0.0863,-0.0506,0.01
1661977524558618783,0.0863,-0.0505,0.01
1661977524587543725,0.0863,-0.0505,0.01
1661977524616620063,0.0863,-0.0504,0.01
1661977524644959211,0.0863,-0.0503,0.01
1661977524673497438,0.0863,-0.0503,0.01
1661977524702229022,0.0863,-0.0502,0.01
1661977524730828762,0.0863,-0.0501,0.01
1661977524759579420,0.0863,-0.05,0.01
1661977524788156747,0.0863,-0.05,0.01
1661977524816791534,0.0863,-0.0499,0.01
1661977524845786094,0.0863,-0.0498,0.01
1661977524882502317,0.0863,-0.0497,0.01
1661977524911043405,0.0863,-0.0497,0.01
1661977524939835786,0.0863,-0.0496,0.01
1661977524968373537,0.0863,-0.0495,0.01
1661977524997201919,0.0863,-0.0494,0.01
1661977525025700807,0.0863,-0.0494,0.01
1661977525054344892,0.0863,-0.0493,0.01
1661977525083056449,0.0863,-0.0492,0.01
1661977525111997365,0.0863,-0.0491,0.01
1661977525140514135,0.0863,-0.0491,0.01
1661977525169135570,0.0863,-0.049,0.01
1661977525197766304,0.0863,-0.0489,0.01
1661977525226626634,0.0863,-0.0489,0.01
1661977525263318538,0.0863,-0.0488,0.01
1661977525292088985,0.0863,-0.0487,0.01
1661977525320779323,0.0863,-0.0486,0.01
1661977525349415779,0.0863,-0.0485,0.01
1661977525378092527,0.0863,-0.0485,0.01
1661977525406768798,0.0863,-0.0484,0.01
