time,robot_x_axis,robot_y_axis,robot_z_axis
1661978493728890895,0.0823,0.028,0.009
1661978493765629768,0.0822,0.0275,0.009
1661978493794654130,0.0821,0.0271,0.009
1661978493831813335,0.082,0.0267,0.009
1661978493860189914,0.082,0.0263,0.009
1661978493888790607,0.0819,0.026,0.009
1661978493925674438,0.0818,0.0255,0.009
1661978493954267501,0.0817,0.0252,0.009
1661978493991238832,0.0816,0.0247,0.009
1661978494019843816,0.0816,0.0243,0.009
1661978494048508405,0.0815,0.024,0.009
1661978494085450649,0.0814,0.0235,0.009
1661978494114022493,0.0813,0.0232,0.009
1661978494150868654,0.0812,0.0227,0.009
1661978494179677486,0.0812,0.0224,0.009
1661978494216344833,0.0811,0.0219,0.009
1661978494245041370,0.081,0.0215,0.009
1661978494273699283,0.0809,0.0212,0.009
1661978494310582876,0.0808,0.0207,0.009
1661978494339154243,0.0808,0.0204,0.009
1661978494376070737,0.0807,0.0199,0.009
1661978494404773473,0.0806,0.0196,0.009
1661978494433810234,0.0805,0.0192,0.009
1661978494470430612,0.0804,0.0187,0.009
1661978494499073505,0.0804,0.0184,0.009
1661978494535973548,0.0803,0.0179,0.009
1661978494564606904,0.0802,0.0176,0.009
1661978494593292951,0.0801,0.0172,0.009
1661978494630114078,0.0801,0.0168,0.009
1661978494658837556,0.08,0.0164,0.009
1661978494695765256,0.0799,0.0159,0.009
1661978494724289894,0.0798,0.0156,0.009
1661978494752975463,0.0798,0.0152,0.009
1661978494790442705,0.0797,0.0148,0.009
1661978494818596124,0.0796,0.0144,0.009
1661978494855514526,0.0795,0.014,0.009
1661978494884067773,0.0794,0.0136,0.009
1661978494912761688,0.0794,0.0132,0.009
1661978494949687957,0.0793,0.0128,0.009
1661978494978273630,0.0792,0.0124,0.009
1661978495015086174,0.0791,0.012,0.009
1661978495043841838,0.079,0.0116,0.009
1661978495072879314,0.079,0.0112,0.009
1661978495109480142,0.0789,0.0108,0.009
1661978495138185977,0.0788,0.0104,0.009
1661978495174988746,0.0787,0.01,0.009
1661978495203620433,0.0786,0.0096,0.009
1661978495232261419,0.0786,0.0093,0.009
1661978495269275426,0.0785,0.0088,0.009
1661978495297746181,0.0784,0.0084,0.009
1661978495334676504,0.0783,0.008,0.009
1661978495363380908,0.0783,0.0076,0.009
1661978495400179147,0.0782,0.0072,0.009
1661978495429023265,0.0781,0.0068,0.009
1661978495457507610,0.078,0.0065,0.009
1661978495494421720,0.0779,0.006,0.009
1661978495523087263,0.0779,0.0057,0.009
1661978495559993267,0.0778,0.0052,0.009
1661978495588838100,0.0777,0.0048,0.009
1661978495617363214,0.0776,0.0045,0.009
1661978495654288530,0.0775,0.004,0.009
1661978495682798147,0.0775,0.0037,0.009
1661978495720108270,0.0774,0.0032,0.009
1661978495749034404,0.0773,0.0028,0.009
1661978495777232885,0.0772,0.0025,0.009
1661978495813900232,0.0771,0.002,0.009
1661978495842543125,0.0771,0.0017,0.009
1661978495879505872,0.077,0.0012,0.009
1661978495908260107,0.0769,0.0009,0.009
1661978495936949491,0.0768,0.0005,0.009
1661978495973696470,0.0768,0.0,0.009
1661978496002478837,0.0767,-0.0003,0.009
1661978496039363145,0.0766,-0.0008,0.009
1661978496068075656,0.0765,-0.0011,0.009
1661978496096602439,0.0764,-0.0015,0.009
1661978496133494615,0.0764,-0.0019,0.009
1661978496162472486,0.0763,-0.0023,0.009
1661978496199207305,0.0762,-0.0028,0.009
1661978496227818965,0.0761,-0.0031,0.009
1661978496256384849,0.0761,-0.0035,0.009
1661978496293248653,0.076,-0.0039,0.009
1661978496321844816,0.0759,-0.0043,0.009
1661978496358959913,0.0758,-0.0047,0.009
1661978496387583017,0.0757,-0.0051,0.009
1661978496424323081,0.0756,-0.0056,0.009
1661978496453009843,0.0756,-0.0059,0.009
1661978496481712341,0.0755,-0.0063,0.009
1661978496518570661,0.0754,-0.0067,0.009
1661978496547298908,0.0753,-0.0071,0.009
1661978496584066390,0.0752,-0.0075,0.009
1661978496612883806,0.0752,-0.0079,0.009
1661978496641540288,0.0751,-0.0083,0.009
1661978496678627252,0.075,-0.0087,0.009
1661978496711001396,0.0749,-0.0091,0.009
1661978496747967004,0.0748,-0.0096,0.009
1661978496776642322,0.0748,-0.0099,0.009
1661978496805521965,0.0747,-0.0103,0.009
1661978496842219829,0.0746,-0.0107,0.009
1661978496870867490,0.0745,-0.0111,0.009
1661978496907892942,0.0745,-0.0116,0.009
1661978496936467409,0.0744,-0.0119,0.009
1661978496965119838,0.0743,-0.0123,0.009
1661978497002281665,0.0742,-0.0127,0.009
1661978497030685186,0.0741,-0.0131,0.009
1661978497067536592,0.0741,-0.0136,0.009
1661978497096747159,0.074,-0.0139,0.009
1661978497125051975,0.0739,-0.0143,0.009
1661978497161785364,0.0738,-0.0147,0.009
1661978497190427541,0.0738,-0.0151,0.009
1661978497227234363,0.0737,-0.0155,0.009
1661978497255921602,0.0736,-0.0159,0.009
1661978497292721986,0.0735,-0.0164,0.009
1661978497321501731,0.0734,-0.0167,0.009
1661978497350115299,0.0734,-0.0171,0.009
1661978497387117862,0.0733,-0.0175,0.009
1661978497415751934,0.0732,-0.0179,0.009
1661978497452588558,0.0731,-0.0183,0.009
1661978497481221914,0.073,-0.0187,0.009
1661978497509895563,0.073,-0.0191,0.009
1661978497546773195,0.0729,-0.0195,0.009
1661978497575412750,0.0728,-0.0199,0.009
1661978497612422943,0.0727,-0.0203,0.009
1661978497641263723,0.0726,-0.0207,0.009
1661978497670163631,0.0726,-0.021,0.009
1661978497706499099,0.0725,-0.0215,0.009
1661978497735087633,0.0724,-0.0219,0.009
1661978497772124052,0.0723,-0.0223,0.009
1661978497800756931,0.0723,-0.0227,0.009
1661978497829514503,0.0722,-0.023,0.009
1661978497866347551,0.0721,-0.0235,0.009
1661978497895066738,0.072,-0.0238,0.009
1661978497931898832,0.0719,-0.0243,0.009
1661978497960684537,0.0719,-0.0247,0.009
1661978497989228248,0.0718,-0.025,0.009
1661978498026131868,0.0717,-0.0255,0.009
1661978498055030345,0.0716,-0.0258,0.009
1661978498091653108,0.0715,-0.0263,0.009
1661978498120241165,0.0715,-0.0266,0.009
1661978498148912668,0.0714,-0.027,0.009
1661978498185860395,0.0713,-0.0275,0.009
1661978498214544057,0.0712,-0.0278,0.009
1661978498251444816,0.0711,-0.0283,0.009
1661978498280339717,0.0711,-0.0286,0.009
1661978498308893918,0.071,-0.029,0.009
1661978498345622301,0.0709,-0.0294,0.009
1661978498374333381,0.0708,-0.0298,0.009
1661978498411114931,0.0708,-0.0303,0.009
1661978498439814805,0.0707,-0.0306,0.009
1661978498476607561,0.0706,-0.0311,0.009
1661978498505386590,0.0705,-0.0314,0.009
1661978498534078121,0.0704,-0.0318,0.009
1661978498570850610,0.0704,-0.0322,0.009
1661978498599586248,0.0703,-0.0326,0.009
1661978498636901140,0.0702,-0.0331,0.009
1661978498665264606,0.0701,-0.0334,0.009
1661978498693997144,0.0701,-0.0338,0.009
1661978498730538845,0.07,-0.0342,0.009
1661978498759336233,0.0699,-0.0346,0.009
1661978498796514749,0.0698,-0.035,0.009
1661978498824920654,0.0697,-0.0354,0.009
1661978498853605031,0.0697,-0.0358,0.009
1661978498890490531,0.0696,-0.0362,0.009
1661978498919413328,0.0695,-0.0366,0.009
1661978498956050634,0.0694,-0.037,0.009
1661978498984724283,0.0693,-0.0374,0.009
1661978499013297557,0.0693,-0.0377,0.009
1661978499050260305,0.0692,-0.0382,0.009
1661978499078891992,0.0691,-0.0386,0.009
1661978499115630626,0.069,-0.039,0.009
1661978499144373178,0.0689,-0.0394,0.009
1661978499173060417,0.0689,-0.0397,0.009
1661978499209890127,0.0688,-0.0402,0.009
1661978499238674640,0.0687,-0.0405,0.009
1661978499275523424,0.0686,-0.041,0.009
1661978499304159641,0.0686,-0.0414,0.009
1661978499332783222,0.0685,-0.0417,0.009
1661978499369652986,0.0684,-0.0422,0.009
1661978499398396253,0.0683,-0.0425,0.009
1661978499435123920,0.0682,-0.043,0.009
1661978499463834285,0.0682,-0.0433,0.009
1661978499492601156,0.0681,-0.0437,0.009
1661978499521253585,0.068,-0.0441,0.009
1661978499550169706,0.0679,-0.0444,0.009
1661978499579174518,0.0679,-0.0448,0.009
1661978499607450962,0.0678,-0.0451,0.009
1661978499635909318,0.0677,-0.0455,0.009
1661978499664608478,0.0677,-0.0458,0.009
1661978499693299531,0.0676,-0.0462,0.009
1661978499722088098,0.0675,-0.0466,0.009
1661978499750697612,0.0675,-0.0469,0.009
1661978499779364347,0.0674,-0.0473,0.009
1661978499807961225,0.0673,-0.0476,0.009
1661978499836642026,0.0672,-0.048,0.009
1661978499865309715,0.0672,-0.0483,0.009
1661978499893997430,0.0671,-0.0486,0.009
1661978499922599792,0.0671,-0.0489,0.009
1661978499951421737,0.067,-0.0492,0.009
1661978499980035543,0.0669,-0.0495,0.009
1661978500008898496,0.0669,-0.0498,0.009
1661978500037451982,0.0668,-0.0501,0.009
1661978500066151142,0.0668,-0.0503,0.009
1661978500094801664,0.0667,-0.0506,0.009
1661978500123785734,0.0667,-0.0508,0.009
1661978500152226924,0.0666,-0.051,0.009
1661978500180826902,0.0666,-0.0512,0.009
1661978500209462165,0.0666,-0.0514,0.009
1661978500238067150,0.0665,-0.0516,0.009
1661978500266772270,0.0665,-0.0517,0.009
1661978500295512676,0.0665,-0.0519,0.009
1661978500324176073,0.0664,-0.052,0.009
1661978500352727651,0.0664,-0.0522,0.009
1661978500382277727,0.0664,-0.0523,0.009
1661978500410673856,0.0664,-0.0524,0.009
1661978500439493894,0.0663,-0.0525,0.009
1661978500467625141,0.0663,-0.0526,0.009
1661978500496202707,0.0663,-0.0526,0.009
1661978500524848461,0.0663,-0.0527,0.009
1661978500553593873,0.0663,-0.0527,0.009
1661978500582251548,0.0663,-0.0527,0.009
1661978500610826015,0.0663,-0.0528,0.009
1661978500668339967,0.0663,-0.0528,0.009
1661978500697566032,0.0663,-0.0528,0.009
1661978500746451616,0.0663,-0.0528,0.009
1661978500795482873,0.0663,-0.0528,0.009
1661978500844458341,0.0663,-0.0528,0.009
1661978500893676042,0.0663,-0.0528,0.009
1661978500942954301,0.0663,-0.0528,0.009
1661978500992035865,0.0663,-0.0528,0.009
1661978501041194438,0.0663,-0.0528,0.009
1661978501090358018,0.0663,-0.0528,0.009
1661978501139486551,0.0663,-0.0528,0.009
1661978501189029455,0.0663,-0.0528,0.009
1661978501237919330,0.0663,-0.0528,0.009
1661978501287040948,0.0663,-0.0528,0.009
1661978501336038589,0.0663,-0.0528,0.009
1661978501385101318,0.0663,-0.0528,0.009
1661978501434241771,0.0663,-0.0528,0.009
1661978501483390092,0.0663,-0.0528,0.009
1661978501532581806,0.0663,-0.0528,0.009
1661978501581779003,0.0663,-0.0528,0.009
1661978501630995273,0.0663,-0.0528,0.009
1661978501680446624,0.0663,-0.0528,0.009
1661978501733131408,0.0663,-0.0528,0.009
1661978501782615661,0.0663,-0.0528,0.009
1661978501831799745,0.0663,-0.0528,0.009
1661978501880827426,0.0663,-0.0528,0.009
1661978501930013656,0.0663,-0.0528,0.009
1661978501979247331,0.0663,-0.0528,0.009
1661978502028427124,0.0663,-0.0528,0.009
1661978502069718837,0.0663,-0.0528,0.009
1661978502179928064,0.0663,-0.0527,0.009
1661978502208777427,0.0663,-0.0527,0.009
1661978502237646579,0.0663,-0.0526,0.009
1661978502266317367,0.0663,-0.0526,0.009
1661978502294886112,0.0663,-0.0525,0.009
1661978502323162317,0.0663,-0.0524,0.009
1661978502351777553,0.0663,-0.0523,0.009
1661978502380581140,0.0663,-0.0523,0.009
1661978502409217596,0.0663,-0.0522,0.009
1661978502437995195,0.0663,-0.0521,0.009
1661978502466527223,0.0663,-0.052,0.009
1661978502495180130,0.0663,-0.052,0.009
1661978502523818492,0.0663,-0.0519,0.009
1661978502560849905,0.0663,-0.0518,0.009
1661978502589354515,0.0663,-0.0517,0.009
1661978502618144512,0.0663,-0.0517,0.009
1661978502646884918,0.0663,-0.0516,0.009
1661978502675366878,0.0663,-0.0515,0.009
1661978502704085588,0.0663,-0.0514,0.009
1661978502732748746,0.0663,-0.0514,0.009
1661978502761603355,0.0663,-0.0513,0.009
1661978502790656566,0.0663,-0.0512,0.009
1661978502818909406,0.0663,-0.0511,0.009
1661978502847558259,0.0663,-0.0511,0.009
1661978502876105070,0.0663,-0.051,0.009
1661978502904837131,0.0663,-0.0509,0.009
1661978502933480262,0.0663,-0.0509,0.009
1661978502970439434,0.0663,-0.0508,0.009
1661978502999089479,0.0663,-0.0507,0.009
1661978503027823448,0.0663,-0.0506,0.009
1661978503056347846,0.0663,-0.0505,0.009
1661978503085109710,0.0663,-0.0505,0.009
1661978503114297866,0.0663,-0.0504,0.009
1661978503142621755,0.0663,-0.0503,0.009
1661978503171153068,0.0663,-0.0503,0.009
1661978503199784517,0.0663,-0.0502,0.009
1661978503228467464,0.0663,-0.0501,0.009
1661978503257177829,0.0663,-0.05,0.009
1661978503285917043,0.0663,-0.05,0.009
1661978503314588785,0.0663,-0.0499,0.009
1661978503343231678,0.0663,-0.0498,0.009
1661978503380277395,0.0663,-0.0497,0.009
1661978503408911466,0.0663,-0.0497,0.009
1661978503438374280,0.0663,-0.0496,0.009
1661978503466282844,0.0663,-0.0495,0.009
1661978503494739770,0.0663,-0.0494,0.009
1661978503523276090,0.0663,-0.0494,0.009
1661978503552037477,0.0663,-0.0493,0.009
1661978503580778598,0.0663,-0.0492,0.009
1661978503609365224,0.0663,-0.0491,0.009
1661978503638086080,0.0663,-0.0491,0.009
1661978503666692256,0.0663,-0.049,0.009
1661978503695417165,0.0663,-0.0489,0.009
1661978503723971366,0.0663,-0.0489,0.009
1661978503760959625,0.0663,-0.0488,0.009
1661978503789594411,0.0663,-0.0487,0.009
1661978503818294048,0.0663,-0.0486,0.009
1661978503846986293,0.0663,-0.0485,0.009
1661978503875612735,0.0663,-0.0485,0.009
1661978503904302120,0.0663,-0.0484,0.009
1661978503933003425,0.0663,-0.0483,0.009
1661978503961889505,0.0663,-0.0482,0.009
1661978503990949153,0.0663,-0.0482,0.009
1661978504019101619,0.0663,-0.0481,0.009
1661978504047762870,0.0663,-0.048,0.009
1661978504076538562,0.0663,-0.048,0.009
1661978504105036020,0.0663,-0.0479,0.009
1661978504133810281,0.0663,-0.0478,0.009
1661978504170793056,0.0663,-0.0477,0.009
1661978504200128316,0.0663,-0.0476,0.009
1661978504228129863,0.0663,-0.0476,0.009
1661978504256640911,0.0663,-0.0475,0.009
1661978504285225152,0.0663,-0.0474,0.009
1661978504313907861,0.0663,-0.0474,0.009
1661978504342560768,0.0663,-0.0473,0.009
1661978504371277809,0.0663,-0.0472,0.009
1661978504399873018,0.0663,-0.0471,0.009
1661978504428666114,0.0663,-0.0471,0.009
1661978504457351922,0.0663,-0.047,0.009
1661978504486100435,0.0663,-0.0469,0.009
1661978504514764308,0.0663,-0.0468,0.009
1661978504551708698,0.0663,-0.0468,0.009
1661978504580404043,0.0663,-0.0467,0.009
1661978504609044313,0.0663,-0.0466,0.009
1661978504637531042,0.0663,-0.0465,0.009
1661978504666320085,0.0663,-0.0465,0.009
1661978504694959163,0.0663,-0.0464,0.009
1661978504723669528,0.0663,-0.0463,0.009
1661978504752169132,0.0663,-0.0462,0.009
1661978504780818700,0.0663,-0.0462,0.009
1661978504809604406,0.0663,-0.0461,0.009
1661978504838255405,0.0663,-0.046,0.009
1661978504867445945,0.0663,-0.046,0.009
1661978504895651578,0.0663,-0.0459,0.009
1661978504932566642,0.0663,-0.0458,0.009
1661978504961098670,0.0663,-0.0457,0.009
1661978504989812374,0.0663,-0.0456,0.009
1661978505018468618,0.0663,-0.0456,0.009
1661978505047099590,0.0663,-0.0455,0.009
1661978505075837135,0.0663,-0.0454,0.009
1661978505104518651,0.0663,-0.0454,0.009
1661978505133388757,0.0663,-0.0453,0.009
1661978505161982536,0.0663,-0.0452,0.009
1661978505190585851,0.0663,-0.0451,0.009
1661978505219286441,0.0663,-0.0451,0.009
1661978505247906208,0.0663,-0.045,0.009
1661978505276630878,0.0663,-0.0449,0.009
1661978505305220603,0.0663,-0.0448,0.009
1661978505342105865,0.0663,-0.0447,0.009
1661978505370882749,0.0663,-0.0447,0.009
1661978505399384021,0.0663,-0.0446,0.009
1661978505428281784,0.0663,-0.0445,0.009
1661978505456896066,0.0663,-0.0445,0.009
1661978505485505580,0.0663,-0.0444,0.009
1661978505514107227,0.0663,-0.0443,0.009
1661978505542857885,0.0663,-0.0442,0.009
1661978505571452617,0.0663,-0.0442,0.009
1661978505600134372,0.0663,-0.0441,0.009
1661978505628887414,0.0663,-0.044,0.009
1661978505657577037,0.0663,-0.0439,0.009
1661978505686265230,0.0663,-0.0439,0.009
1661978505723299264,0.0663,-0.0438,0.009
1661978505752380371,0.0663,-0.0437,0.009
1661978505780729770,0.0663,-0.0436,0.009
1661978505809206008,0.0663,-0.0436,0.009
1661978505837750673,0.0663,-0.0435,0.009
1661978505866501092,0.0663,-0.0434,0.009
1661978505895170211,0.0663,-0.0433,0.009
1661978505923912525,0.0663,-0.0433,0.009
1661978505952501058,0.0663,-0.0432,0.009
1661978505981302261,0.0663,-0.0431,0.009
1661978506009946107,0.0663,-0.0431,0.009
1661978506038452625,0.0663,-0.043,0.009
1661978506067201375,0.0663,-0.0429,0.009
1661978506095790863,0.0663,-0.0428,0.009
1661978506132811069,0.0663,-0.0427,0.009
1661978506161517143,0.0663,-0.0427,0.009
1661978506190055370,0.0663,-0.0426,0.009
1661978506218951463,0.0663,-0.0425,0.009
1661978506247605800,0.0663,-0.0424,0.009
1661978506276263475,0.0663,-0.0424,0.009
1661978506305050373,0.0663,-0.0423,0.009
1661978506333423852,0.0663,-0.0422,0.009
1661978506362218141,0.0663,-0.0422,0.009
1661978506390795946,0.0663,-0.0421,0.009
1661978506419409036,0.0663,-0.042,0.009
1661978506448065996,0.0663,-0.0419,0.009
1661978506476763963,0.0663,-0.0419,0.009
1661978506513739824,0.0663,-0.0418,0.009
1661978506542418003,0.0663,-0.0417,0.009
1661978506570954322,0.0663,-0.0416,0.009
1661978506599724292,0.0663,-0.0416,0.009
1661978506629009723,0.0663,-0.0415,0.009
1661978506657152652,0.0663,-0.0414,0.009
1661978506685877084,0.0663,-0.0413,0.009
1661978506714417219,0.0663,-0.0413,0.009
1661978506742974281,0.0663,-0.0412,0.009
1661978506771769285,0.0663,-0.0411,0.009
1661978506800373077,0.0663,-0.041,0.009
1661978506829160451,0.0663,-0.041,0.009
1661978506857827425,0.0663,-0.0409,0.009
1661978506886809110,0.0663,-0.0408,0.009
1661978506923388242,0.0663,-0.0407,0.009
1661978506951924085,0.0663,-0.0407,0.009
1661978506980813741,0.0663,-0.0406,0.009
1661978507009422302,0.0663,-0.0405,0.009
1661978507037975072,0.0663,-0.0404,0.009
1661978507066775083,0.0663,-0.0404,0.009
1661978507095401763,0.0663,-0.0403,0.009
1661978507124144315,0.0663,-0.0402,0.009
1661978507152704000,0.0663,-0.0402,0.009
1661978507181333780,0.0663,-0.0401,0.009
1661978507209962129,0.0663,-0.04,0.009
1661978507238814115,0.0663,-0.0399,0.009
1661978507267505884,0.0663,-0.0399,0.009
1661978507304381132,0.0663,-0.0398,0.009
1661978507333194494,0.0663,-0.0397,0.009
1661978507361681699,0.0663,-0.0396,0.009
1661978507390389919,0.0663,-0.0396,0.009
1661978507419095039,0.0663,-0.0395,0.009
1661978507447803020,0.0663,-0.0394,0.009
1661978507476709365,0.0663,-0.0393,0.009
1661978507505718708,0.0663,-0.0393,0.009
1661978507533909797,0.0663,-0.0392,0.009
1661978507562535524,0.0663,-0.0391,0.009
1661978507591165065,0.0663,-0.039,0.009
1661978507619778156,0.0663,-0.039,0.009
1661978507648469686,0.0663,-0.0389,0.009
1661978507677114486,0.0663,-0.0388,0.009
1661978507714300870,0.0663,-0.0387,0.009
1661978507742711544,0.0663,-0.0387,0.009
