time,robot_x_axis,robot_y_axis,robot_z_axis
1651873442467084646,0.035,-0.06,0.03
1651873442516359090,0.035,-0.06,0.03
1651873442565424919,0.035,-0.06,0.03
1651873442614735841,0.035,-0.06,0.03
1651873442663827657,0.035,-0.06,0.03
1651873442712961673,0.035,-0.06,0.03
1651873442762266874,0.035,-0.06,0.03
1651873442811413764,0.035,-0.06,0.03
1651873442860626220,0.035,-0.06,0.03
1651873442909679412,0.035,-0.06,0.03
1651873442958720445,0.035,-0.06,0.03
1651873443008181571,0.035,-0.06,0.03
1651873443057121038,0.035,-0.06,0.03
1651873443110133409,0.035,-0.06,0.03
1651873443159558773,0.035,-0.06,0.03
1651873443208737373,0.035,-0.06,0.03
1651873443257882833,0.035,-0.06,0.03
1651873443307262182,0.035,-0.06,0.03
1651873443356110811,0.035,-0.06,0.03
1651873443405250310,0.035,-0.06,0.03
1651873443454357147,0.035,-0.06,0.03
1651873443503434658,0.035,-0.06,0.03
1651873443552591085,0.035,-0.06,0.03
1651873443601805925,0.035,-0.06,0.03
1651873443650940656,0.035,-0.06,0.03
1651873443700066566,0.035,-0.06,0.03
1651873443749398469,0.035,-0.06,0.03
1651873443798436641,0.035,-0.06,0.03
1651873443847613096,0.035,-0.06,0.03
1651873443896885156,0.035,-0.06,0.03
1651873443945930242,0.035,-0.06,0.03
1651873443995466470,0.035,-0.06,0.03
1651873444044543743,0.035,-0.06,0.03
1651873444093418598,0.035,-0.06,0.03
1651873444142707347,0.035,-0.06,0.03
1651873444191751956,0.035,-0.06,0.03
1651873444240828514,0.035,-0.06,0.03
1651873444289974212,0.035,-0.06,0.03
1651873444339073181,0.035,-0.06,0.03
1651873444388266563,0.035,-0.06,0.03
1651873444437402725,0.035,-0.06,0.03
1651873444486629009,0.035,-0.06,0.03
1651873444535783767,0.035,-0.06,0.03
1651873444588713884,0.035,-0.06,0.03
1651873444638116836,0.035,-0.06,0.03
1651873444687382459,0.035,-0.06,0.03
1651873444736485719,0.035,-0.06,0.03
1651873444785658121,0.035,-0.06,0.03
1651873444834767341,0.035,-0.06,0.03
1651873444884034872,0.035,-0.06,0.03
1651873444933088541,0.035,-0.06,0.03
1651873444982605457,0.035,-0.06,0.03
1651873445031615495,0.035,-0.06,0.03
1651873445080637693,0.035,-0.06,0.03
1651873445129895925,0.035,-0.06,0.03
1651873445178973197,0.035,-0.06,0.03
1651873445228242158,0.035,-0.06,0.03
1651873445277372121,0.035,-0.06,0.03
1651873445326445102,0.035,-0.06,0.03
1651873445375717401,0.035,-0.06,0.03
1651873445424728155,0.035,-0.06,0.03
1651873445473910093,0.035,-0.06,0.03
1651873445523149728,0.035,-0.06,0.03
1651873445572204828,0.035,-0.06,0.03
1651873445621350049,0.035,-0.06,0.03
1651873445670505523,0.035,-0.06,0.03
1651873445719932079,0.035,-0.06,0.03
1651873445769233226,0.035,-0.06,0.03
1651873445818080186,0.035,-0.06,0.03
1651873445867087841,0.035,-0.06,0.03
1651873445916282892,0.035,-0.06,0.03
1651873445965507030,0.035,-0.06,0.03
1651873446014560461,0.035,-0.06,0.03
1651873446067513704,0.035,-0.06,0.03
1651873446117069244,0.035,-0.06,0.03
1651873446166274070,0.035,-0.06,0.03
1651873446215231895,0.035,-0.06,0.03
1651873446264470100,0.035,-0.06,0.03
1651873446313747167,0.035,-0.06,0.03
1651873446362822771,0.035,-0.06,0.03
1651873446412036895,0.035,-0.06,0.03
1651873446461218833,0.035,-0.06,0.03
1651873446510269403,0.035,-0.06,0.03
1651873446559629678,0.035,-0.06,0.03
1651873446608658075,0.035,-0.06,0.03
1651873446657691240,0.035,-0.06,0.03
1651873446706986188,0.035,-0.06,0.03
1651873446756103277,0.035,-0.06,0.03
1651873446805205345,0.035,-0.06,0.03
1651873446854464530,0.035,-0.06,0.03
1651873446903462648,0.035,-0.06,0.03
1651873446952860593,0.035,-0.06,0.03
1651873447001896142,0.035,-0.06,0.03
1651873447051102399,0.035,-0.06,0.03
1651873447100080728,0.035,-0.06,0.03
1651873447149262666,0.035,-0.06,0.03
1651873447198328495,0.035,-0.06,0.03
1651873447247550010,0.035,-0.06,0.03
1651873447296724081,0.035,-0.06,0.03
1651873447346032381,0.035,-0.06,0.03
1651873447395092010,0.035,-0.06,0.03
1651873447444362163,0.035,-0.06,0.03
1651873447493390321,0.035,-0.06,0.03
1651873447546465396,0.035,-0.06,0.03
1651873447595763921,0.035,-0.06,0.03
1651873447644846916,0.035,-0.06,0.03
1651873447694073200,0.035,-0.06,0.03
1651873447743283271,0.035,-0.06,0.03
1651873447792464017,0.035,-0.06,0.03
1651873447841710567,0.035,-0.06,0.03
1651873447890789985,0.035,-0.06,0.03
1651873447940281152,0.035,-0.06,0.03
1651873447989517211,0.035,-0.06,0.03
1651873448038568735,0.035,-0.06,0.03
1651873448087559223,0.035,-0.06,0.03
1651873448136708259,0.035,-0.06,0.03
1651873448185902833,0.035,-0.06,0.03
1651873448234966039,0.035,-0.06,0.03
1651873448284275531,0.035,-0.06,0.03
1651873448333321332,0.035,-0.06,0.03
1651873448382371664,0.035,-0.06,0.03
1651873448431621074,0.035,-0.06,0.03
1651873448480663776,0.035,-0.06,0.03
1651873448529821157,0.035,-0.06,0.03
1651873448579092025,0.035,-0.06,0.03
1651873448628179550,0.035,-0.06,0.03
1651873448677298784,0.035,-0.06,0.03
1651873448726485490,0.035,-0.06,0.03
1651873448775881052,0.035,-0.06,0.03
1651873448824815511,0.035,-0.06,0.03
1651873448873945951,0.035,-0.06,0.03
1651873448923243045,0.035,-0.06,0.03
1651873448972287416,0.035,-0.06,0.03
1651873449025085449,0.035,-0.06,0.03
1651873449074543714,0.035,-0.06,0.03
1651873449124329328,0.035,-0.06,0.03
1651873449172957181,0.035,-0.06,0.03
1651873449222213268,0.035,-0.06,0.03
1651873449271231174,0.035,-0.06,0.03
1651873449320570468,0.035,-0.06,0.03
1651873449369584798,0.035,-0.06,0.03
1651873449418664693,0.035,-0.06,0.03
1651873449467832565,0.035,-0.06,0.03
1651873449517006158,0.035,-0.06,0.03
1651873449566119670,0.035,-0.06,0.03
1651873449615281343,0.035,-0.06,0.03
