time,robot_x_axis,robot_y_axis,robot_z_axis
1651876246814785957,0.0547,0.0403,0.02
1651876246864422321,0.0547,0.0403,0.02
1651876246913185358,0.0547,0.0403,0.02
1651876246962270736,0.0547,0.0403,0.02
1651876247011307477,0.0547,0.0403,0.02
1651876247060498237,0.0547,0.0403,0.02
1651876247109896659,0.0547,0.0403,0.02
1651876247159073829,0.0547,0.0403,0.02
1651876247208437681,0.0547,0.0403,0.02
1651876247261077165,0.0547,0.0403,0.02
1651876247310486793,0.0547,0.0403,0.02
1651876247359662294,0.0547,0.0403,0.02
1651876247409122467,0.0547,0.0403,0.02
1651876247458160161,0.0547,0.0403,0.02
1651876247507292509,0.0547,0.0403,0.02
1651876247556416273,0.0547,0.0403,0.02
1651876247605495452,0.0547,0.0403,0.02
1651876247654747962,0.0547,0.0403,0.02
1651876247704079866,0.0547,0.0403,0.02
1651876247756769418,0.0547,0.0403,0.02
1651876247806116104,0.0547,0.0403,0.02
1651876247855367422,0.0547,0.0403,0.02
1651876247904433012,0.0547,0.0403,0.02
1651876247953481912,0.0547,0.0403,0.02
1651876248002755641,0.0547,0.0403,0.02
1651876248052080392,0.0547,0.0403,0.02
1651876248101226806,0.0547,0.0403,0.02
1651876248150249719,0.0547,0.0403,0.02
1651876248199580669,0.0547,0.0403,0.02
1651876248252385377,0.0547,0.0403,0.02
1651876248301694631,0.0547,0.0403,0.02
1651876248350974559,0.0547,0.0403,0.02
1651876248400075674,0.0547,0.0403,0.02
1651876248449184179,0.0547,0.0403,0.02
1651876248498389482,0.0547,0.0403,0.02
1651876248547510623,0.0547,0.0403,0.02
1651876248596866607,0.0547,0.0403,0.02
1651876248645993947,0.0547,0.0403,0.02
1651876248695301055,0.0547,0.0403,0.02
1651876248748005390,0.0547,0.0403,0.02
1651876248797346353,0.0547,0.0403,0.02
1651876248846479177,0.0547,0.0403,0.02
1651876248895627737,0.0547,0.0403,0.02
1651876248944710731,0.0547,0.0403,0.02
1651876248994046449,0.0547,0.0403,0.02
1651876249043014049,0.0547,0.0403,0.02
1651876249092375278,0.0547,0.0403,0.02
1651876249141524076,0.0547,0.0403,0.02
1651876249190912008,0.0547,0.0403,0.02
1651876249243809700,0.0547,0.0403,0.02
1651876249293051242,0.0547,0.0403,0.02
1651876249342367887,0.0547,0.0403,0.02
1651876249391423940,0.0547,0.0403,0.02
1651876249440633773,0.0547,0.0403,0.02
1651876249489793777,0.0547,0.0403,0.02
1651876249538879156,0.0547,0.0403,0.02
1651876249588159799,0.0547,0.0403,0.02
1651876249637431383,0.0547,0.0403,0.02
1651876249686827182,0.0547,0.0403,0.02
1651876249739506244,0.0547,0.0403,0.02
1651876249788790702,0.0547,0.0403,0.02
1651876249837869167,0.0547,0.0403,0.02
1651876249887127876,0.0547,0.0403,0.02
1651876249936105251,0.0547,0.0403,0.02
1651876249985294818,0.0547,0.0403,0.02
1651876250034537076,0.0547,0.0403,0.02
1651876250083841562,0.0547,0.0403,0.02
1651876250132845878,0.0547,0.0403,0.02
1651876250182266712,0.0547,0.0403,0.02
1651876250235394954,0.0547,0.0403,0.02
1651876250284346818,0.0547,0.0403,0.02
1651876250333448410,0.0547,0.0403,0.02
1651876250382669925,0.0547,0.0403,0.02
1651876250431817054,0.0547,0.0403,0.02
1651876250481142520,0.0547,0.0403,0.02
1651876250530104875,0.0547,0.0403,0.02
1651876250579239130,0.0547,0.0403,0.02
1651876250628489017,0.0547,0.0403,0.02
1651876250677913904,0.0547,0.0403,0.02
1651876250730546951,0.0547,0.0403,0.02
1651876250780048131,0.0547,0.0403,0.02
1651876250829227209,0.0547,0.0403,0.02
1651876250878414154,0.0547,0.0403,0.02
1651876250927638530,0.0547,0.0403,0.02
1651876250976626157,0.0547,0.0403,0.02
1651876251025827407,0.0547,0.0403,0.02
1651876251075108051,0.0547,0.0403,0.02
1651876251124034404,0.0547,0.0403,0.02
1651876251173417568,0.0547,0.0403,0.02
1651876251226354122,0.0547,0.0403,0.02
1651876251275735616,0.0547,0.0403,0.02
1651876251324856042,0.0547,0.0403,0.02
1651876251373908519,0.0547,0.0403,0.02
1651876251423029422,0.0547,0.0403,0.02
1651876251472201585,0.0547,0.0403,0.02
1651876251521382808,0.0547,0.0403,0.02
1651876251570508956,0.0547,0.0403,0.02
1651876251619729042,0.0547,0.0403,0.02
1651876251669100522,0.0547,0.0403,0.02
1651876251722044229,0.0547,0.0403,0.02
1651876251771287202,0.0547,0.0403,0.02
1651876251820467710,0.0547,0.0403,0.02
1651876251869686126,0.0547,0.0403,0.02
1651876251918766498,0.0547,0.0403,0.02
1651876251967957496,0.0547,0.0403,0.02
1651876252017030477,0.0547,0.0403,0.02
1651876252066268205,0.0547,0.0403,0.02
1651876252115334987,0.0547,0.0403,0.02
1651876252164810895,0.0547,0.0403,0.02
1651876252217639684,0.0547,0.0403,0.02
1651876252267095327,0.0547,0.0403,0.02
1651876252316158771,0.0547,0.0403,0.02
1651876252365264415,0.0547,0.0403,0.02
1651876252414409875,0.0547,0.0403,0.02
1651876252463499784,0.0547,0.0403,0.02
1651876252512845516,0.0547,0.0403,0.02
1651876252561974763,0.0547,0.0403,0.02
1651876252611075878,0.0547,0.0403,0.02
1651876252660514116,0.0547,0.0403,0.02
1651876252713260173,0.0547,0.0403,0.02
1651876252762695312,0.0547,0.0403,0.02
1651876252811715126,0.0547,0.0403,0.02
1651876252860917568,0.0547,0.0403,0.02
1651876252910078525,0.0547,0.0403,0.02
1651876252959207534,0.0547,0.0403,0.02
1651876253008531808,0.0547,0.0403,0.02
1651876253057592630,0.0547,0.0403,0.02
1651876253107886075,0.0547,0.0403,0.02
1651876253159744024,0.0547,0.0403,0.02
1651876253212859153,0.0547,0.0403,0.02
1651876253262221813,0.0547,0.0403,0.02
1651876253311491250,0.0547,0.0403,0.02
1651876253360678911,0.0547,0.0403,0.02
1651876253409888267,0.0547,0.0403,0.02
1651876253459126710,0.0547,0.0403,0.02
1651876253508296728,0.0547,0.0403,0.02
1651876253557434558,0.0547,0.0403,0.02
1651876253606628179,0.0547,0.0403,0.02
1651876253656001329,0.0547,0.0403,0.02
1651876253708795785,0.0547,0.0403,0.02
1651876253758328914,0.0547,0.0403,0.02
1651876253807551860,0.0547,0.0403,0.02
1651876253856464147,0.0547,0.0403,0.02
1651876253905566692,0.0547,0.0403,0.02
1651876253954764127,0.0547,0.0403,0.02
1651876254003962993,0.0547,0.0403,0.02
1651876254052978754,0.0547,0.0403,0.02
1651876254102183580,0.0547,0.0403,0.02
1651876254151433467,0.0547,0.0403,0.02
1651876254204427003,0.0547,0.0403,0.02
1651876254253865242,0.0547,0.0403,0.02
1651876254302923440,0.0547,0.0403,0.02
1651876254352042198,0.0547,0.0403,0.02
1651876254401210069,0.0547,0.0403,0.02
1651876254450310230,0.0547,0.0403,0.02
1651876254499478816,0.0547,0.0403,0.02
1651876254548813819,0.0547,0.0403,0.02
1651876254597993612,0.0547,0.0403,0.02
1651876254647369623,0.0547,0.0403,0.02
1651876254700150251,0.0547,0.0403,0.02
1651876254749431371,0.0547,0.0403,0.02
1651876254798617124,0.0547,0.0403,0.02
1651876254847844123,0.0547,0.0403,0.02
1651876254897002458,0.0547,0.0403,0.02
1651876254946096658,0.0547,0.0403,0.02
1651876254995332717,0.0547,0.0403,0.02
1651876255044419050,0.0547,0.0403,0.02
1651876255093455314,0.0547,0.0403,0.02
1651876255142862319,0.0547,0.0403,0.02
1651876255195676565,0.0547,0.0403,0.02
1651876255245023965,0.0547,0.0403,0.02
1651876255294381141,0.0547,0.0403,0.02
1651876255343436479,0.0547,0.0403,0.02
1651876255392537593,0.0547,0.0403,0.02
1651876255441832542,0.0547,0.0403,0.02
1651876255490877151,0.0547,0.0403,0.02
1651876255540195465,0.0547,0.0403,0.02
1651876255589284658,0.0547,0.0403,0.02
1651876255638591289,0.0547,0.0403,0.02
1651876255691331148,0.0547,0.0403,0.02
1651876255740754604,0.0547,0.0403,0.02
1651876255789867401,0.0547,0.0403,0.02
1651876255839247703,0.0547,0.0403,0.02
1651876255888412714,0.0547,0.0403,0.02
1651876255937468528,0.0547,0.0403,0.02
1651876255986611604,0.0547,0.0403,0.02
1651876256035791635,0.0547,0.0403,0.02
1651876256084807395,0.0547,0.0403,0.02
1651876256134495973,0.0547,0.0403,0.02
1651876256187244176,0.0547,0.0403,0.02
1651876256236394643,0.0547,0.0403,0.02
1651876256285659313,0.0547,0.0403,0.02
1651876256334770917,0.0547,0.0403,0.02
1651876256383937120,0.0547,0.0403,0.02
1651876256433019638,0.0547,0.0403,0.02
1651876256482238292,0.0547,0.0403,0.02
1651876256531483411,0.0547,0.0403,0.02
1651876256580574512,0.0547,0.0403,0.02
