[Connect DataFile][1.1]
DeviceType:	CTRatio
GraphType.ObjectTemperature	min=550;max=3010
GraphType.AmbientTemperature	min=0;max=100
GraphType.Attenuation	min=0;max=100
GraphType.TopTemperature	min=495;max=3010
GraphType.BottomTemperature	min=495;max=3010
GraphType.ArbitraryValue	min=0;max=0
Date:	25.10.2022
Time:	13:52:42
Unit:	°C
Resolution:	0,02
Values:	14
Time	TProc	TRatio	TWB	TNB	Attenuation	THead	TBox	TActProc	TActRatio	TActWB	TActNB	EpsT1	EpsT2	TRawProc	
00:00:00,0000	550,0	550,0	495,0	495,0	100,0	48,2	29,1	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,0200	550,0	550,0	497,0	495,4	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,0400	550,0	550,0	495,2	495,0	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,0600	550,0	550,0	495,0	495,0	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,0800	550,0	550,0	495,0	495,0	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,1000	550,0	550,0	495,0	495,0	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,1200	550,0	550,0	496,9	496,3	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,1400	550,0	550,0	495,1	495,1	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,1600	550,0	550,0	495,0	495,0	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,1800	881,1	881,1	508,7	501,2	26,5	50,0	37,7	902,9	902,9	540,0	503,7	1,0	1,0	902,9	
00:00:00,2000	550,0	550,0	513,9	508,8	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,2200	550,0	550,0	497,3	496,6	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,2400	550,0	550,0	495,1	495,1	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,2600	550,0	550,0	497,5	495,8	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,2800	550,0	550,0	498,0	495,5	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,3000	550,0	550,0	498,6	495,2	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,3200	550,0	550,0	495,2	495,0	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,3400	792,1	792,1	567,2	545,7	29,5	50,0	37,7	1003,7	1003,7	702,4	670,1	1,0	1,0	1003,7	
00:00:00,3600	550,0	550,0	500,9	499,4	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,3800	550,0	550,0	495,1	495,1	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,4000	550,0	550,0	495,0	495,0	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,4200	550,0	550,0	495,0	495,0	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,4400	550,0	550,0	495,0	495,0	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,4600	550,0	550,0	500,5	497,5	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,4800	550,0	550,0	496,3	495,8	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,5000	550,0	550,0	495,2	495,1	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,5200	550,0	550,0	495,0	495,0	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,5400	550,0	550,0	495,0	495,0	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,5600	550,0	550,0	499,1	495,1	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,5800	550,0	550,0	499,1	495,1	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,6000	550,0	550,0	495,0	495,0	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,6200	550,0	550,0	495,0	495,0	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,6400	550,0	550,0	495,0	495,0	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,6600	550,0	550,0	495,0	495,0	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
00:00:00,6800	660,4	660,4	511,2	502,2	31,4	50,0	37,7	669,9	669,9	557,6	531,6	1,0	1,0	669,9	
00:00:00,7000	550,0	550,0	497,2	495,2	100,0	50,0	37,7	550,0	550,0	495,0	495,0	1,0	1,0	550,0	
