rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,data,data
1666980456322691353,,1,,1666980456,318883642,'',,10.019540786743164
1666980456523352250,,2,,1666980456,516883642,'',,11.974573135375977
1666980456719925913,,3,,1666980456,716883642,'',,10.99705696105957
1666980456924657516,,4,,1666980456,918883642,'',,15.884661674499512
1666980457125404102,,5,,1666980457,118334592,'',,15.884661674499512
1666980457322164327,,6,,1666980457,318334592,'',,18.817211151123047
1666980457523638760,,7,,1666980457,517334592,'',,17.83969497680664
1666980457719365279,,8,,1666980457,716334592,'',,10.99705696105957
1666980457919848561,,9,,1666980457,916334592,'',,13.9296293258667
1666980458120541417,,10,,1666980458,115334592,'',,14.907145500183105
1666980458317332957,,11,,1666980458,314334592,'',,13.9296293258667
1666980458518015508,,12,,1666980458,513334592,'',,11.974573135375977
1666980458718698102,,13,,1666980458,713334592,'',,15.884661674499512
1666980458915315475,,14,,1666980458,912334592,'',,14.907145500183105
1666980459115881768,,15,,1666980459,111334592,'',,16.862178802490234
1666980459316803871,,16,,1666980459,311334592,'',,11.974573135375977
1666980459517506917,,17,,1666980459,512334592,'',,17.83969497680664
1666980459718016111,,18,,1666980459,712423313,'',,16.862178802490234
1666980459914782656,,19,,1666980459,912423313,'',,12.952113151550293
1666980460115453334,,20,,1666980460,110423313,'',,10.019540786743164
1666980460316167514,,21,,1666980460,310423313,'',,10.019540786743164
1666980460512713616,,22,,1666980460,509423313,'',,13.9296293258667
1666980460713511832,,23,,1666980460,709423313,'',,15.884661674499512
1666980460914231859,,24,,1666980460,908423313,'',,15.884661674499512
1666980461110879647,,25,,1666980461,107423313,'',,14.907145500183105
1666980461311562510,,26,,1666980461,307423313,'',,14.907145500183105
1666980461512277375,,27,,1666980461,506423313,'',,17.83969497680664
1666980461708807073,,28,,1666980461,705423313,'',,14.907145500183105
1666980461909559417,,29,,1666980461,905423313,'',,10.99705696105957
1666980462110278739,,30,,1666980462,106423313,'',,10.019540786743164
1666980462311139829,,31,,1666980462,306335033,'',,14.907145500183105
1666980462511566132,,32,,1666980462,506335033,'',,15.884661674499512
1666980462708220722,,33,,1666980462,704335033,'',,16.862178802490234
1666980462908938078,,34,,1666980462,904335033,'',,18.817211151123047
1666980463110375119,,35,,1666980463,103335033,'',,11.974573135375977
1666980463306455856,,36,,1666980463,302335033,'',,10.019540786743164
1666980463507027869,,37,,1666980463,502335033,'',,14.907145500183105
1666980463707590886,,38,,1666980463,701335033,'',,17.83969497680664
1666980463904636458,,39,,1666980463,900335033,'',,15.884661674499512
1666980464105129777,,40,,1666980464,99335033,'',,12.952113151550293
1666980464306104962,,41,,1666980464,299335033,'',,13.9296293258667
1666980464502479964,,42,,1666980464,498335033,'',,10.019540786743164
1666980464707368328,,43,,1666980464,700335033,'',,15.884661674499512
1666980464903763987,,44,,1666980464,899301589,'',,15.884661674499512
1666980465104436559,,45,,1666980465,98301589,'',,13.9296293258667
1666980465306030694,,46,,1666980465,297301589,'',,15.884661674499512
1666980465501877573,,47,,1666980465,497301589,'',,-233.3822021484375
1666980465702654564,,48,,1666980465,696301589,'',,-50.586509704589844
1666980465903238375,,49,,1666980465,895301589,'',,-223.60704040527344
1666980466099759173,,50,,1666980466,95301589,'',,-231.4271697998047
1666980466300557015,,51,,1666980466,294301589,'',,-240.22483825683594
1666980466501286214,,52,,1666980466,493301589,'',,-231.4271697998047
1666980466697868420,,53,,1666980466,693301589,'',,-250.0
1666980466899535976,,54,,1666980466,891301589,'',,-154.2033233642578
1666980467099195210,,55,,1666980467,91301589,'',,-226.5395965576172
1666980467300119247,,56,,1666980467,293301589,'',,-246.08993530273438
1666980467500793672,,57,,1666980467,494518651,'',,-214.8094024658203
1666980467697224906,,58,,1666980467,693518651,'',,-35.923744201660156
1666980467898020240,,59,,1666980467,892518651,'',,-38.85631561279297
1666980468098796455,,60,,1666980468,92518651,'',,-243.1573944091797
1666980468295388520,,61,,1666980468,290518651,'',,-26.148582458496094
1666980468495994580,,62,,1666980468,490518651,'',,-111.19257354736328
1666980468692925095,,63,,1666980468,690518651,'',,-133.67547607421875
1666980468893334302,,64,,1666980468,888518651,'',,-96.52982330322266
1666980469093981779,,65,,1666980469,88518651,'',,-30.05864715576172
1666980469290698027,,66,,1666980469,288518651,'',,-96.52982330322266
1666980469491357849,,67,,1666980469,486518651,'',,-41.78886413574219
1666980469692020292,,68,,1666980469,686518651,'',,-23.216033935546875
1666980469892810924,,69,,1666980469,888518651,'',,-209.9217987060547
