rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,data,layout,dim,data_offset,data
1666985301347839570,,3236,,1666985301,340586420,'',,,[],0,"[28.59237289428711, 24.682308197021484, 28.59237289428711, 28.59237289428711, 38.367557525634766, 33.47995376586914, 20.77224349975586, 26.637340545654297, 26.637340545654297, 27.614856719970703, 27.614856719970703, 22.727275848388672, 28.59237289428711, 24.682308197021484, 20.77224349975586, 26.637340545654297]"
1666985301548965087,,3237,,1666985301,538586420,'',,,[],0,"[28.59237289428711, 25.65982437133789, 27.614856719970703, 28.59237289428711, 36.41250228881836, 23.704792022705078, 25.65982437133789, 28.59237289428711, 25.65982437133789, 25.65982437133789, 25.65982437133789, 17.83969497680664, 27.614856719970703, 33.47995376586914, 24.682308197021484, 23.704792022705078]"
1666985301744958875,,3238,,1666985301,738586420,'',,,[],0,"[24.682308197021484, 24.682308197021484, 24.682308197021484, 24.682308197021484, 38.367557525634766, 21.749759674072266, 25.65982437133789, 29.569889068603516, 30.547405242919922, 24.682308197021484, 23.704792022705078, 27.614856719970703, 28.59237289428711, 28.59237289428711, 22.727275848388672, 27.614856719970703]"
1666985301949794655,,3239,,1666985301,940586420,'',,,[],0,"[27.614856719970703, 22.727275848388672, 22.727275848388672, 31.524921417236328, 36.41250228881836, 23.704792022705078, 29.569889068603516, 24.682308197021484, 28.59237289428711, 34.45746994018555, 23.704792022705078, 31.524921417236328, 23.704792022705078, 26.637340545654297, 26.637340545654297, 24.682308197021484]"
1666985302147290531,,3240,,1666985302,140585639,'',,,[],0,"[23.704792022705078, 26.637340545654297, 25.65982437133789, 23.704792022705078, 36.41250228881836, 26.637340545654297, 35.43498611450195, 23.704792022705078, 28.59237289428711, 25.65982437133789, 22.727275848388672, 28.59237289428711, 24.682308197021484, 28.59237289428711, 23.704792022705078, 15.884661674499512]"
1666985302347769344,,3241,,1666985302,340585639,'',,,[],0,"[34.45746994018555, 24.682308197021484, 24.682308197021484, 29.569889068603516, 38.367557525634766, 26.637340545654297, 24.682308197021484, 23.704792022705078, 25.65982437133789, 28.59237289428711, 27.614856719970703, 29.569889068603516, 23.704792022705078, 30.547405242919922, 23.704792022705078, 25.65982437133789]"
1666985302547845039,,3242,,1666985302,539585639,'',,,[],0,"[21.749759674072266, 30.547405242919922, 28.59237289428711, 28.59237289428711, 39.34507369995117, 29.569889068603516, 24.682308197021484, 25.65982437133789, 22.727275848388672, 28.59237289428711, 25.65982437133789, 25.65982437133789, 25.65982437133789, 25.65982437133789, 27.614856719970703, 24.682308197021484]"
1666985302744362547,,3243,,1666985302,738585639,'',,,[],0,"[20.77224349975586, 25.65982437133789, 28.59237289428711, 24.682308197021484, 38.367557525634766, 22.727275848388672, 26.637340545654297, 24.682308197021484, 34.45746994018555, 31.524921417236328, 26.637340545654297, 26.637340545654297, 25.65982437133789, 28.59237289428711, 23.704792022705078, 27.614856719970703]"
1666985302945227520,,3244,,1666985302,938585639,'',,,[],0,"[30.547405242919922, 27.614856719970703, 29.569889068603516, 24.682308197021484, 38.367557525634766, 24.682308197021484, 20.77224349975586, 27.614856719970703, 28.59237289428711, 29.569889068603516, 33.47995376586914, 27.614856719970703, 21.749759674072266, 28.59237289428711, 25.65982437133789, 30.547405242919922]"
1666985303145749107,,3245,,1666985303,137585639,'',,,[],0,"[28.59237289428711, 25.65982437133789, 16.862178802490234, 17.83969497680664, 38.367557525634766, 26.637340545654297, 27.614856719970703, 27.614856719970703, 27.614856719970703, 24.682308197021484, 33.47995376586914, 26.637340545654297, 19.794727325439453, 29.569889068603516, 23.704792022705078, 25.65982437133789]"
1666985303342312643,,3246,,1666985303,336585639,'',,,[],0,"[24.682308197021484, 26.637340545654297, 24.682308197021484, 24.682308197021484, 31.524921417236328, 19.794727325439453, 30.547405242919922, 30.547405242919922, 23.704792022705078, 25.65982437133789, 26.637340545654297, 27.614856719970703, 31.524921417236328, 26.637340545654297, 25.65982437133789, 22.727275848388672]"
1666985303543290164,,3247,,1666985303,535585639,'',,,[],0,"[26.637340545654297, 28.59237289428711, 25.65982437133789, 26.637340545654297, 38.367557525634766, 21.749759674072266, 26.637340545654297, 26.637340545654297, 25.65982437133789, 29.569889068603516, 24.682308197021484, 26.637340545654297, 20.77224349975586, 25.65982437133789, 28.59237289428711, 23.704792022705078]"
1666985303743819067,,3248,,1666985303,735585639,'',,,[],0,"[26.637340545654297, 27.614856719970703, 23.704792022705078, 23.704792022705078, 34.45746994018555, 24.682308197021484, 24.682308197021484, 12.952113151550293, 21.749759674072266, 24.682308197021484, 21.749759674072266, 26.637340545654297, 27.614856719970703, 30.547405242919922, 27.614856719970703, 26.637340545654297]"
1666985303940608227,,3249,,1666985303,934585639,'',,,[],0,"[23.704792022705078, 25.65982437133789, 24.682308197021484, 23.704792022705078, 37.390018463134766, 23.704792022705078, 27.614856719970703, 22.727275848388672, 26.637340545654297, 30.547405242919922, 22.727275848388672, 22.727275848388672, 19.794727325439453, 26.637340545654297, 24.682308197021484, 25.65982437133789]"
1666985304141385443,,3250,,1666985304,133585639,'',,,[],0,"[25.65982437133789, 25.65982437133789, 25.65982437133789, 37.390018463134766, 35.43498611450195, 24.682308197021484, 28.59237289428711, 17.83969497680664, 24.682308197021484, 23.704792022705078, 29.569889068603516, 26.637340545654297, 17.83969497680664, 25.65982437133789, 24.682308197021484, 25.65982437133789]"
1666985304341878767,,3251,,1666985304,333585639,'',,,[],0,"[24.682308197021484, 24.682308197021484, 27.614856719970703, 29.569889068603516, 43.2551383972168, 25.65982437133789, 22.727275848388672, 26.637340545654297, 24.682308197021484, 28.59237289428711, 22.727275848388672, 26.637340545654297, 17.83969497680664, 30.547405242919922, 18.817211151123047, 20.77224349975586]"
1666985304542546449,,3252,,1666985304,534585639,'',,,[],0,"[22.727275848388672, 30.547405242919922, 23.704792022705078, 33.47995376586914, 40.32258987426758, 22.727275848388672, 28.59237289428711, 24.682308197021484, 21.749759674072266, 30.547405242919922, 22.727275848388672, 29.569889068603516, 24.682308197021484, 23.704792022705078, 23.704792022705078, 27.614856719970703]"
1666985304743308014,,3253,,1666985304,735825040,'',,,[],0,"[23.704792022705078, 24.682308197021484, 23.704792022705078, 31.524921417236328, 34.45746994018555, 25.65982437133789, 34.45746994018555, 16.862178802490234, 27.614856719970703, 27.614856719970703, 23.704792022705078, 19.794727325439453, 24.682308197021484, 26.637340545654297, 29.569889068603516, 30.547405242919922]"
1666985304939844898,,3254,,1666985304,935825040,'',,,[],0,"[29.569889068603516, 26.637340545654297, 24.682308197021484, 25.65982437133789, 36.41250228881836, 22.727275848388672, 20.77224349975586, 26.637340545654297, 22.727275848388672, 32.502437591552734, 27.614856719970703, 32.502437591552734, 22.727275848388672, 21.749759674072266, 30.547405242919922, 28.59237289428711]"
