time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.data.data
2022/10/21/16:48:38.523358,1,1666392518,515215068,,30.547405242919922
2022/10/21/16:48:38.727900,2,1666392518,717215068,,35.43498611450195
2022/10/21/16:48:38.924778,3,1666392518,916057647,,32.502437591552734
2022/10/21/16:48:39.125328,4,1666392519,115057647,,36.41250228881836
2022/10/21/16:48:39.325948,5,1666392519,314057647,,33.47995376586914
2022/10/21/16:48:39.522690,6,1666392519,514057647,,33.47995376586914
2022/10/21/16:48:39.723449,7,1666392519,713057647,,35.43498611450195
2022/10/21/16:48:39.923926,8,1666392519,912057647,,33.47995376586914
2022/10/21/16:48:40.120793,9,1666392520,112057647,,34.45746994018555
2022/10/21/16:48:40.321350,10,1666392520,311057647,,31.524921417236328
2022/10/21/16:48:40.522042,11,1666392520,510057647,,32.502437591552734
2022/10/21/16:48:40.718846,12,1666392520,710057647,,34.45746994018555
2022/10/21/16:48:40.919408,13,1666392520,908057647,,34.45746994018555
2022/10/21/16:48:41.116165,14,1666392521,108057647,,35.43498611450195
2022/10/21/16:48:41.320726,15,1666392521,310057647,,34.45746994018555
2022/10/21/16:48:41.521564,16,1666392521,509867729,,35.43498611450195
2022/10/21/16:48:41.718526,17,1666392521,709867729,,36.41250228881836
2022/10/21/16:48:41.918884,18,1666392521,908867729,,36.41250228881836
2022/10/21/16:48:42.115514,19,1666392522,108867729,,33.47995376586914
2022/10/21/16:48:42.316236,20,1666392522,307867729,,34.45746994018555
2022/10/21/16:48:42.517099,21,1666392522,506867729,,32.502437591552734
2022/10/21/16:48:42.713881,22,1666392522,706867729,,38.367557525634766
2022/10/21/16:48:42.914373,23,1666392522,904867729,,35.43498611450195
2022/10/21/16:48:43.115018,24,1666392523,104867729,,38.367557525634766
2022/10/21/16:48:43.311647,25,1666392523,304867729,,36.41250228881836
2022/10/21/16:48:43.512294,26,1666392523,502867729,,38.367557525634766
2022/10/21/16:48:43.713097,27,1666392523,702867729,,36.41250228881836
2022/10/21/16:48:43.913816,28,1666392523,904867729,,35.43498611450195
2022/10/21/16:48:44.114375,29,1666392524,103286088,,33.47995376586914
2022/10/21/16:48:44.311005,30,1666392524,303286088,,31.524921417236328
2022/10/21/16:48:44.511737,31,1666392524,502286088,,37.390018463134766
2022/10/21/16:48:44.712336,32,1666392524,701286088,,40.32258987426758
2022/10/21/16:48:44.909112,33,1666392524,901286088,,37.390018463134766
2022/10/21/16:48:45.109906,34,1666392525,100286088,,38.367557525634766
2022/10/21/16:48:45.310389,35,1666392525,299286088,,36.41250228881836
2022/10/21/16:48:45.507053,36,1666392525,498286088,,36.41250228881836
2022/10/21/16:48:45.707865,37,1666392525,698286088,,34.45746994018555
2022/10/21/16:48:45.908599,38,1666392525,897286088,,37.390018463134766
2022/10/21/16:48:46.105113,39,1666392526,96286088,,37.390018463134766
2022/10/21/16:48:46.305972,40,1666392526,296286088,,34.45746994018555
2022/10/21/16:48:46.506637,41,1666392526,497286088,,35.43498611450195
2022/10/21/16:48:46.707329,42,1666392526,698608936,,33.47995376586914
2022/10/21/16:48:46.908108,43,1666392526,898608936,,31.524921417236328
2022/10/21/16:48:47.104459,44,1666392527,96608936,,30.547405242919922
2022/10/21/16:48:47.305160,45,1666392527,296608936,,33.47995376586914
2022/10/21/16:48:47.505983,46,1666392527,495608936,,31.524921417236328
2022/10/21/16:48:47.702842,47,1666392527,694608936,,30.547405242919922
2022/10/21/16:48:47.903251,48,1666392527,894608936,,32.502437591552734
2022/10/21/16:48:48.103900,49,1666392528,93608936,,33.47995376586914
2022/10/21/16:48:48.300623,50,1666392528,292608936,,38.367557525634766
2022/10/21/16:48:48.501270,51,1666392528,491608936,,35.43498611450195
2022/10/21/16:48:48.702014,52,1666392528,691608936,,35.43498611450195
2022/10/21/16:48:48.898693,53,1666392528,890608936,,37.390018463134766
2022/10/21/16:48:49.103626,54,1666392529,92608936,,37.390018463134766
2022/10/21/16:48:49.300103,55,1666392529,291464628,,33.47995376586914
2022/10/21/16:48:49.500759,56,1666392529,491464628,,31.524921417236328
2022/10/21/16:48:49.701474,57,1666392529,689464628,,31.524921417236328
2022/10/21/16:48:49.898264,58,1666392529,889464628,,34.45746994018555
2022/10/21/16:48:50.098867,59,1666392530,88464628,,32.502437591552734
2022/10/21/16:48:50.299537,60,1666392530,287464628,,32.502437591552734
2022/10/21/16:48:50.496060,61,1666392530,487464628,,34.45746994018555
2022/10/21/16:48:50.696808,62,1666392530,686464628,,31.524921417236328
2022/10/21/16:48:50.900535,63,1666392530,885464628,,35.43498611450195
2022/10/21/16:48:51.094015,64,1666392531,84464628,,33.47995376586914
2022/10/21/16:48:51.296121,65,1666392531,284464628,,32.502437591552734
2022/10/21/16:48:51.491381,66,1666392531,483464628,,37.390018463134766
2022/10/21/16:48:51.696543,67,1666392531,685464628,,37.390018463134766
2022/10/21/16:48:51.897075,68,1666392531,885032714,,35.43498611450195
2022/10/21/16:48:52.093770,69,1666392532,83032714,,33.47995376586914
2022/10/21/16:48:52.296939,70,1666392532,283032714,,34.45746994018555
2022/10/21/16:48:52.494947,71,1666392532,483032714,,36.41250228881836
2022/10/21/16:48:52.691518,72,1666392532,681032714,,36.41250228881836
2022/10/21/16:48:52.892262,73,1666392532,881032714,,34.45746994018555
2022/10/21/16:48:53.089041,74,1666392533,81032714,,32.502437591552734
2022/10/21/16:48:53.289531,75,1666392533,279032714,,34.45746994018555
2022/10/21/16:48:53.490886,76,1666392533,479032714,,35.43498611450195
2022/10/21/16:48:53.686937,77,1666392533,678032714,,32.502437591552734
2022/10/21/16:48:53.887593,78,1666392533,877032714,,35.43498611450195
2022/10/21/16:48:54.088421,79,1666392534,77032714,,32.502437591552734
2022/10/21/16:48:54.289032,80,1666392534,279032714,,36.41250228881836
2022/10/21/16:48:54.489847,81,1666392534,478598655,,35.43498611450195
2022/10/21/16:48:54.686470,82,1666392534,677598655,,35.43498611450195
