time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.data.data
2022/10/21/16:48:38.519196,1,1666392518,515215068,,20.77224349975586
2022/10/21/16:48:38.719839,2,1666392518,717215068,,17.83969497680664
2022/10/21/16:48:38.920705,3,1666392518,916057647,,16.862178802490234
2022/10/21/16:48:39.121462,4,1666392519,115057647,,18.817211151123047
2022/10/21/16:48:39.317963,5,1666392519,315057647,,19.794727325439453
2022/10/21/16:48:39.518560,6,1666392519,514057647,,19.794727325439453
2022/10/21/16:48:39.719495,7,1666392519,713057647,,18.817211151123047
2022/10/21/16:48:39.916107,8,1666392519,912057647,,17.83969497680664
2022/10/21/16:48:40.116652,9,1666392520,112057647,,19.794727325439453
2022/10/21/16:48:40.317440,10,1666392520,311057647,,15.884661674499512
2022/10/21/16:48:40.513970,11,1666392520,510057647,,16.862178802490234
2022/10/21/16:48:40.714891,12,1666392520,710057647,,17.83969497680664
2022/10/21/16:48:40.915473,13,1666392520,908057647,,16.862178802490234
2022/10/21/16:48:41.112121,14,1666392521,108057647,,14.907145500183105
2022/10/21/16:48:41.316899,15,1666392521,310057647,,15.884661674499512
2022/10/21/16:48:41.513459,16,1666392521,509867729,,15.884661674499512
2022/10/21/16:48:41.714248,17,1666392521,709867729,,17.83969497680664
2022/10/21/16:48:41.914990,18,1666392521,908867729,,15.884661674499512
2022/10/21/16:48:42.112709,19,1666392522,108867729,,17.83969497680664
2022/10/21/16:48:42.312269,20,1666392522,307867729,,16.862178802490234
2022/10/21/16:48:42.513151,21,1666392522,506867729,,20.77224349975586
2022/10/21/16:48:42.709607,22,1666392522,706867729,,17.83969497680664
2022/10/21/16:48:42.910139,23,1666392522,905867729,,17.83969497680664
2022/10/21/16:48:43.111423,24,1666392523,104867729,,17.83969497680664
2022/10/21/16:48:43.307796,25,1666392523,304867729,,18.817211151123047
2022/10/21/16:48:43.509180,26,1666392523,502867729,,17.83969497680664
2022/10/21/16:48:43.709027,27,1666392523,702867729,,17.83969497680664
2022/10/21/16:48:43.909729,28,1666392523,904867729,,17.83969497680664
2022/10/21/16:48:44.110286,29,1666392524,103286088,,18.817211151123047
2022/10/21/16:48:44.307150,30,1666392524,303286088,,15.884661674499512
2022/10/21/16:48:44.507773,31,1666392524,502286088,,19.794727325439453
2022/10/21/16:48:44.708319,32,1666392524,701286088,,19.794727325439453
2022/10/21/16:48:44.905149,33,1666392524,901286088,,18.817211151123047
2022/10/21/16:48:45.105644,34,1666392525,100286088,,18.817211151123047
2022/10/21/16:48:45.306505,35,1666392525,299286088,,17.83969497680664
2022/10/21/16:48:45.502970,36,1666392525,498286088,,15.884661674499512
2022/10/21/16:48:45.703764,37,1666392525,698286088,,19.794727325439453
2022/10/21/16:48:45.904594,38,1666392525,897286088,,17.83969497680664
2022/10/21/16:48:46.101032,39,1666392526,96286088,,16.862178802490234
2022/10/21/16:48:46.301890,40,1666392526,296286088,,18.817211151123047
2022/10/21/16:48:46.502619,41,1666392526,497286088,,19.794727325439453
2022/10/21/16:48:46.703223,42,1666392526,698608936,,15.884661674499512
2022/10/21/16:48:46.903958,43,1666392526,898608936,,18.817211151123047
2022/10/21/16:48:47.100464,44,1666392527,96608936,,18.817211151123047
2022/10/21/16:48:47.301242,45,1666392527,296608936,,19.794727325439453
2022/10/21/16:48:47.498032,46,1666392527,496608936,,16.862178802490234
